clave,valor,subcategoria,uso,grupo,grupo_nombre,tipo_de_regla
"landuse","aquaculture","agua","Cuerpo de agua","ambiente","Ambiente y zona rural","etiqueta OSM"
"landuse","basin","agua","Cuerpo de agua","ambiente","Ambiente y zona rural","etiqueta OSM"
"landuse","salt_pond","agua","Cuerpo de agua","ambiente","Ambiente y zona rural","etiqueta OSM"
"natural","water","agua","Cuerpo de agua","ambiente","Ambiente y zona rural","etiqueta OSM"
"natural","wetland","agua","Cuerpo de agua","ambiente","Ambiente y zona rural","etiqueta OSM"
"landuse","allotments","verde_natural","Verde natural","ambiente","Ambiente y zona rural","etiqueta OSM"
"building","barn","verde_natural","Verde natural","ambiente","Ambiente y zona rural","etiqueta OSM"
"building","cowshed","verde_natural","Verde natural","ambiente","Ambiente y zona rural","etiqueta OSM"
"building","farm","verde_natural","Verde natural","ambiente","Ambiente y zona rural","etiqueta OSM"
"landuse","farmland","verde_natural","Verde natural","ambiente","Ambiente y zona rural","etiqueta OSM"
"landuse","farmyard","verde_natural","Verde natural","ambiente","Ambiente y zona rural","etiqueta OSM"
"landuse","forest","verde_natural","Verde natural","ambiente","Ambiente y zona rural","etiqueta OSM"
"natural","grassland","verde_natural","Verde natural","ambiente","Ambiente y zona rural","etiqueta OSM"
"building","greenhouse","verde_natural","Verde natural","ambiente","Ambiente y zona rural","etiqueta OSM"
"landuse","greenhouse_horticulture","verde_natural","Verde natural","ambiente","Ambiente y zona rural","etiqueta OSM"
"landuse","meadow","verde_natural","Verde natural","ambiente","Ambiente y zona rural","etiqueta OSM"
"leisure","nature_reserve","verde_natural","Verde natural","ambiente","Ambiente y zona rural","etiqueta OSM"
"landuse","orchard","verde_natural","Verde natural","ambiente","Ambiente y zona rural","etiqueta OSM"
"landuse","plant_nursery","verde_natural","Verde natural","ambiente","Ambiente y zona rural","etiqueta OSM"
"natural","scrub","verde_natural","Verde natural","ambiente","Ambiente y zona rural","etiqueta OSM"
"building","stable","verde_natural","Verde natural","ambiente","Ambiente y zona rural","etiqueta OSM"
"building","sty","verde_natural","Verde natural","ambiente","Ambiente y zona rural","etiqueta OSM"
"landuse","vineyard","verde_natural","Verde natural","ambiente","Ambiente y zona rural","etiqueta OSM"
"natural","wood","verde_natural","Verde natural","ambiente","Ambiente y zona rural","etiqueta OSM"
"shop","atv","automotriz","Automotriz / Taller","comercio","Comercio y economía","etiqueta OSM"
"shop","boat","automotriz","Automotriz / Taller","comercio","Comercio y economía","etiqueta OSM"
"shop","car","automotriz","Automotriz / Taller","comercio","Comercio y economía","etiqueta OSM"
"shop","car_parts","automotriz","Automotriz / Taller","comercio","Comercio y economía","etiqueta OSM"
"shop","car_repair","automotriz","Automotriz / Taller","comercio","Comercio y economía","etiqueta OSM"
"amenity","car_wash","automotriz","Automotriz / Taller","comercio","Comercio y economía","etiqueta OSM"
"shop","caravan","automotriz","Automotriz / Taller","comercio","Comercio y economía","etiqueta OSM"
"name","lavadero de autos","automotriz","Automotriz / Taller","comercio","Comercio y economía","palabra en el nombre"
"name","lavadero de carros","automotriz","Automotriz / Taller","comercio","Comercio y economía","palabra en el nombre"
"name","lavadero de motos","automotriz","Automotriz / Taller","comercio","Comercio y economía","palabra en el nombre"
"name","montallantas","automotriz","Automotriz / Taller","comercio","Comercio y economía","palabra en el nombre"
"shop","motorcycle","automotriz","Automotriz / Taller","comercio","Comercio y economía","etiqueta OSM"
"shop","motorcycle_parts","automotriz","Automotriz / Taller","comercio","Comercio y economía","etiqueta OSM"
"shop","motorcycle_repair","automotriz","Automotriz / Taller","comercio","Comercio y economía","etiqueta OSM"
"name","repuestos","automotriz","Automotriz / Taller","comercio","Comercio y economía","palabra en el nombre"
"name","serviteca","automotriz","Automotriz / Taller","comercio","Comercio y economía","palabra en el nombre"
"name","taller","automotriz","Automotriz / Taller","comercio","Comercio y economía","palabra en el nombre"
"name","tecnimec","automotriz","Automotriz / Taller","comercio","Comercio y economía","palabra en el nombre"
"shop","truck","automotriz","Automotriz / Taller","comercio","Comercio y economía","etiqueta OSM"
"shop","truck_repair","automotriz","Automotriz / Taller","comercio","Comercio y economía","etiqueta OSM"
"shop","tyres","automotriz","Automotriz / Taller","comercio","Comercio y economía","etiqueta OSM"
"amenity","vehicle_inspection","automotriz","Automotriz / Taller","comercio","Comercio y economía","etiqueta OSM"
"amenity","atm","banco","Banco / Cajero","comercio","Comercio y economía","etiqueta OSM"
